dataset,strategy,seed,accuracy,log_loss,macro_f1,balanced_acc,mcc,pr_auc,macro_auc,top2_accuracy,n_classes
adult,stratified_coreset,1,0.8597604667826799,0.31187672188547383,0.7828843176624294,0.7546505408929531,0.5845555355615507,0.7888523224933599,0.9103115644252184,,2
adult,random,2,0.8637526870713481,0.30219879018012213,0.7931999282702922,0.7679744611359782,0.5997064300194022,0.7982274966552455,0.9152475946659077,,2
adult,stratified,2,0.8599651960282526,0.3031795532266986,0.7894670178870593,0.766657468844536,0.5897435347328178,0.7962910909047014,0.9153844108311436,,2
adult,coreset,2,0.8640597809397073,0.30100906819174705,0.7945960392402738,0.7702283304663526,0.6013504311993694,0.7992714446224883,0.9158383158707095,,2
adult,prototype,2,0.8610912068789026,0.3175327705221745,0.7962139124929822,0.7785371065355304,0.5982553950892567,0.7827109640010512,0.9098904964164756,,2
adult,stratified_coreset,2,0.8570989865902344,0.31936674211131666,0.780821878179383,0.754659980460096,0.5775229429715086,0.7869168177671672,0.9042712775038193,,2
adult,random,3,0.8595557375371071,0.3020297477307878,0.7939263770931058,0.7763552426837886,0.5936859860728364,0.7965978460295768,0.9147985245265856,,2
adult,stratified,3,0.8639574163169209,0.30099110320190914,0.7987054137293379,0.7788088106617378,0.6048729694740095,0.7985551989768563,0.9157292428235402,,2
adult,coreset,3,0.8597604667826799,0.29907987291816246,0.7978909060640536,0.784551290751446,0.5989107239635771,0.7994349612176073,0.9158753834392465,,2
adult,prototype,3,0.8598628314054663,0.312990806966742,0.7991821066888224,0.7872568779046095,0.6008090513616579,0.7864437443917629,0.9103974414628843,,2
adult,stratified_coreset,3,0.8563824342307299,0.31513607524250675,0.7720469067648059,0.7405577563944721,0.5711270462200707,0.7890758644611618,0.9093898540078849,,2
adult,random,4,0.8603746545193981,0.30191448653317443,0.7914158005162966,0.769858057689339,0.5922056364473969,0.7968729076052397,0.91592672547517,,2
adult,stratified,4,0.8625243115979118,0.3024427474921985,0.8017121552652834,0.7879802998536061,0.6066814226762671,0.7963282920273105,0.9147643924331971,,2
adult,coreset,4,0.8617053946156208,0.29895865298258295,0.7953732234374231,0.7757162300348839,0.5981636462547641,0.7989745480445016,0.9165309728889875,,2
adult,prototype,4,0.8623195823523391,0.3080862987497175,0.8002369309235524,0.7850608547021535,0.6045493986465268,0.7881845336262164,0.9120527040963922,,2
adult,stratified_coreset,4,0.8594533729143208,0.3109554525571062,0.7799477948386344,0.7499049424077043,0.5823124679024034,0.7934967817397994,0.9110754211054215,,2
connect-4,random,1,0.7712,0.5551904790159481,0.508043319263947,0.5244149576782445,0.49455023407278575,0.6518513473813693,0.8569082082659607,0.9185,3
connect-4,stratified,1,0.7727,0.5593090703861371,0.5077989920226017,0.5211062111382497,0.4955527623409161,0.651194137770062,0.8554480408934837,0.9198,3
connect-4,coreset,1,0.7719,0.5601742453310495,0.5079351653362493,0.5224809992538774,0.49458755849367186,0.64683489505659,0.8551814776723147,0.9163,3
connect-4,prototype,1,0.7099,0.6919126964219142,0.5183872676785852,0.5438540700993905,0.4395978062854561,0.6106364432846244,0.8189182654379615,0.8896,3
connect-4,stratified_coreset,1,0.7582,0.6050681782833671,0.490758836016785,0.5015592312276174,0.4570769151196126,0.6137087813131377,0.8234850990510605,0.909,3
connect-4,random,2,0.7731,0.5535483764282606,0.5132324071751321,0.5226824393769626,0.49673408978883027,0.6495577718534618,0.8571209302118402,0.9225,3
connect-4,stratified,2,0.7697,0.5599871275556263,0.5099763063729514,0.5182486474408862,0.48771418364999775,0.6478249771699301,0.8561126736926393,0.9256,3
connect-4,coreset,2,0.7724,0.5540794537138435,0.5099967819920783,0.5196935236978677,0.49418616118632025,0.6507188919987082,0.8586947438544247,0.922,3
